ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
BLK,below_resistance,0.0,1019.68,1132.7,-9.98,,4,3.59,-0.0353,12,False,79.8,53.6,False,,False,3.22,-15.54,False,False,867.2,4 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; healthy last complete week momentum
TSLA,below_resistance,0.0,406.55,452.43,-10.14,,3,1.72,-0.0005,6,False,42.1,40.9,False,,False,3.62,-18.5,False,False,18888.07,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; healthy last complete week momentum
WMT,below_resistance,0.0,112.21,133.64,-16.03,,3,2.21,-0.0102,7,False,83.3,29.0,True,,False,-3.33,-16.98,False,False,2792.45,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; below SMA50
BRO,below_resistance,0.0,67.84,81.82,-17.09,,3,0.67,-0.2014,8,False,93.3,46.0,False,,False,9.0,-36.83,True,False,188.09,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; very strong but possibly extended weekly momentum
CCL,below_resistance,0.0,26.72,32.45,-17.66,,6,1.96,-0.058,10,False,74.2,54.4,False,,False,-3.99,-20.63,False,False,746.88,6 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50
CMG,below_resistance,0.0,34.6,42.03,-17.68,,2,1.45,-0.0873,8,False,60.7,60.7,False,,False,6.15,-39.34,True,False,648.88,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; healthy last complete week momentum
LMT,below_resistance,0.0,518.26,640.56,-19.09,,2,0.82,-0.1804,5,False,73.0,3.6,True,,False,7.59,-25.11,False,False,723.22,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; below SMA50; healthy last complete week momentum
NEM,below_resistance,0.0,94.81,120.98,-21.63,,3,0.96,-0.3052,4,False,56.0,46.0,False,,False,0.95,-29.4,False,False,903.3,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50
CCJ,below_resistance,0.0,95.74,122.3,-21.72,,3,1.98,-0.0525,5,False,56.3,38.5,False,,False,-7.61,-29.21,False,False,329.02,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50
NOC,below_resistance,0.0,532.23,710.94,-25.14,,2,0.67,-0.2479,5,False,79.4,21.4,True,,False,9.8,-31.24,False,False,565.63,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; below SMA50; very strong but possibly extended weekly momentum
